,borough,tot_crime_2019,tot_crime_2013,%variation_crime,G_index_median
0,City of London,8843,5477,61.45700200839875,0.12950148702649544
1,Barking and Dagenham,18575,16234,14.420352346926204,0.3061344086793788
2,Barnet,29491,23244,26.875752882464294,0.1581983739732859
3,Bexley,17141,11890,44.163162321278385,0.057505260101602104
4,Brent,28161,24167,16.526668597674515,0.2123173902415376
5,Bromley,23711,19381,22.34146844848047,0.0497107896863556
6,Camden,36877,28427,29.725261195342455,0.1130845508526338
7,Croydon,30973,28002,10.60995643168345,0.13843971711938263
8,Ealing,29417,26273,11.966657785559319,0.17129958124280745
9,Enfield,28449,22136,28.51915431875678,0.1398320332694032
10,Greenwich,26577,19459,36.57947479315484,0.1356734800934234
11,Hackney,31985,25779,24.0738585670507,0.16300431546932515
12,Hammersmith and Fulham,21515,18939,13.60156291250858,0.1806042141041837
13,Haringey,30047,21251,41.39099336501812,0.1675698577996342
14,Harrow,16136,12234,31.894719633807423,0.1872968900879461
15,Havering,18086,15254,18.56562213189983,0.0
16,Hillingdon,28626,20934,36.74405273717397,0.1106617905797744
17,Hounslow,24909,19811,25.733178537176315,0.14218313064131335
18,Islington,28752,24323,18.209102495580314,0.1112547744801759
19,Kensington and Chelsea,22982,18008,27.621057307863172,0.1937799451879212
20,Kingston upon Thames,12147,9475,28.200527704485488,0.16339331368060528
21,Lambeth,33505,32603,2.76661656902739,0.15401571585372045
22,Lewisham,27356,22529,21.425717963513694,0.1763403185732826
23,Merton,13787,11820,16.64128595600677,0.16325595525588826
24,Newham,33580,28257,18.837810100152176,0.1813941179438106
25,Redbridge,22739,20110,13.073097961213326,0.1358137757137777
26,Richmond upon Thames,12426,10610,17.11592836946277,0.1073907677652449
27,Southwark,37192,31457,18.231236290809676,0.15341482133560866
28,Sutton,13335,10245,30.161054172767205,0.0804143109758119
29,Tower Hamlets,32527,26872,21.044209586186366,0.0858101810962302
30,Waltham Forest,22833,22197,2.8652520610893366,0.1640498620410636
31,Wandsworth,24732,22651,9.187232351772549,0.1547646964515101
32,Westminster,75659,54649,38.44535124155977,0.10324485281940446
